,airport_code,city_name,avg_daily_flights,percent_delayed,num_unique_airlines,unique_airlines,mean_dep_delay,std_dep_delay
34,BIH,"Bishop, CA",1.6593406593406594,33.11258278145695,1,['OO'],10.450331125827814,69.03947554278608
198,LSE,"La Crosse, WI",1.6506849315068493,17.012448132780083,1,['MQ'],-12.195020746887966,54.352163174710924
341,WYS,"West Yellowstone, MT",1.6444444444444444,8.108108108108109,1,['OO'],1.027027027027027,55.91455638470083
261,PSE,"Ponce, PR",1.6024096385542168,23.68421052631579,2,"['B6', 'F9']",-7.992481203007519,49.128863474267646
185,LBE,"Latrobe, PA",1.4876543209876543,18.672199170124482,1,['NK'],-2.929460580912863,63.109158105548715
291,SCE,"State College, PA",1.421487603305785,31.395348837209305,2,"['YX', 'OO']",29.040697674418606,107.5254550337368
263,PSM,"Portsmouth, NH",1.3178807947019868,28.64321608040201,1,['G4'],3.2814070351758793,60.17282522019344
158,IAG,"Niagara Falls, NY",1.2366412213740459,38.2716049382716,1,['G4'],10.487654320987655,87.87980481933683
144,HGR,"Hagerstown, MD",1.2061855670103092,44.44444444444445,1,['G4'],19.17948717948718,62.76277385913859
314,STC,"St. Cloud, MN",1.1948051948051948,60.86956521739131,1,['G4'],21.75,61.92367244270328
325,TOL,"Toledo, OH",1.164179104477612,45.51282051282051,1,['G4'],23.942307692307693,73.27475826306878
241,OTH,"North Bend/Coos Bay, OR",1.1171875,40.55944055944056,1,['OO'],20.566433566433567,87.45578838303396
154,HTS,"Ashland, WV",1.0943396226415094,66.37931034482757,1,['G4'],53.224137931034484,107.59215150031977
242,OTZ,"Kotzebue, AK",1.0060240963855422,11.377245508982035,1,['AS'],-8.011976047904191,30.84355940735577
236,OME,"Nome, AK",1.0057142857142858,19.886363636363637,1,['AS'],3.221590909090909,42.50299874829308
104,EKO,"Elko, NV",1.0055248618784531,1.6483516483516483,1,['OO'],1.1428571428571428,85.97128795134239
94,DLG,"Dillingham, AK",1.0,24.137931034482758,1,['AS'],-8.620689655172415,86.2398705410436
310,SPI,"Springfield, IL",1.0,59.01639344262295,1,['G4'],30.868852459016395,60.83350924444961
31,BGM,"Binghamton, NY",1.0,21.487603305785125,1,['9E'],5.148760330578512,41.89583534533888
311,SPN,"Saipan, TT",1.0,16.292134831460675,1,['UA'],-3.646067415730337,60.90924536462495
258,PQI,"Presque Isle/Houlton, ME",1.0,22.413793103448278,1,['B6'],11.649425287356323,83.53240397665245
66,CKB,"Clarksburg/Fairmont, WV",1.0,77.19298245614034,1,['G4'],68.2280701754386,103.50103821837104
257,PPG,"Pago Pago, TT",1.0,47.368421052631575,1,['HA'],0.3157894736842105,16.10807017653046
9,ADK,"Adak Island, AK",1.0,29.78723404255319,1,['AS'],-6.0,39.851899741963095
308,SMX,"Santa Maria, CA",1.0,54.0,1,['G4'],40.4,127.13274438112927
13,AKN,"King Salmon, AK",1.0,23.333333333333332,1,['AS'],-31.5,41.502596512042224
49,BRW,"Barrow, AK",1.0,54.385964912280706,1,['AS'],8.777777777777779,44.59619843700448
110,EWN,"New Bern/Morehead/Beaufort, NC",1.0,33.33333333333333,1,['OH'],89.0,168.02083204174417
